label,n,a,b,r_aligned,rep_score,mean_abs_pearson
P11,8,-2.3043553114198136,-7.908956909895986,0.06884707433335405,0.26893416447816487,0.6354665713683781
P13,11,-5.660514522533691,-8.459905888798744,0.18939606789552593,0.21213010841000485,0.30554868773633204
P14,8,-1.1652282688644968,-8.434505744195311,0.04507310096018323,0.2764178192609517,0.39403857782845886
P16,9,-3.598855834093471,-7.705796883959542,0.38788642287140274,0.0,0.3743315384168853
P18,12,-4.0772352728245185,-8.078047923551418,0.395372057487901,0.013972017805300656,0.18633649137170255
P19,8,-21.17851999994792,-7.998604369407183,0.05644274591393422,0.10921810960950813,0.47712074184379893
P2,7,-84.7283861977281,-7.352589575572157,0.2829350345243662,0.12112175882100248,0.3253497612529216
P20,11,-23.300022191878647,-8.75649321761088,0.08833367371808186,0.16436617253509003,0.16436617253509003
P22,6,-18.091844515022633,-8.75502083189776,0.8214231705024048,0.07270562388836957,0.2023567887106529
P24,9,145.77467562530816,-7.723182755481946,0.2295211276691841,0.037183908346977865,0.3547905071833282
P26,7,251.52907970656585,-6.727241562255049,0.29725055771969167,0.1883275413120442,0.26661788534007014
P3,9,-201.60814834843592,-7.992805093577654,0.2568962001061234,0.08734508421255974,0.12462928681895293
P4,9,43.84041136460513,-6.598607515253582,0.28456521858834066,0.0,0.4717800410995639
P7,11,19.84392915302642,-7.4832873286844475,0.5758991452314401,0.0,0.35162114366603736
P8,10,26.12762720631396,-7.219438777662463,0.4047899669903987,0.08348442756370195,0.22270522224764333
P9,6,39.40219826527709,-5.838646639321235,0.4678093078392047,0.15450854524521768,0.5721434598092654
