label,n_points,psi_lock_R,circ_mean_rad,circ_mean_deg,mean_abs_dpsi_rad,mean_abs_dpsi_deg
P24,24,0.8515318482204024,0.05203747040332226,2.9815274306472994,0.4712784620279791,27.00226684961963
P6,24,0.847681003706422,0.03960944167283481,2.269453836723038,0.4374917178235114,25.066429003215536
P1,24,0.8352814491082582,-0.011109244976552047,-0.6365128507333435,0.48007660025537424,27.506363037622084
P18,28,0.8293178303710779,0.024256605907837875,1.389801143831209,0.5160798751749445,29.569198739162665
P5,26,0.8234261553446256,-0.03898080639144088,-2.233435688246147,0.49287927861754177,28.239902474237745
P8,27,0.8142353196674955,-0.08620288302692544,-4.939061379302746,0.5626893858207588,32.239726984337906
P16,26,0.7949870441366719,0.057177846460451306,3.2760492838308926,0.5410093354278379,30.997551597192597
P11,25,0.7728217876303314,-0.039852919799042506,-2.2834041057584926,0.5794131058989532,33.19792556257664
P12,29,0.7671933363842877,-0.02568864592431941,-1.4718509928694457,0.5686893023370027,32.58349687814952
P7,29,0.765784667413288,0.04266291768686343,2.4444051251713073,0.5940294067388477,34.03537791279612
P23,23,0.7512333529453209,0.021090952023283836,1.2084225368470682,0.6041196302611275,34.613505134966374
P2,25,0.749975648666488,-0.05711108526989217,-3.2722241493765853,0.5639422278381687,32.311509544332154
P22,24,0.7173306612806798,0.004842298029298097,0.2774432402232968,0.6619676186462008,37.92795072275288
P10,27,0.7102614825534549,0.006122329382121558,0.3507836343845023,0.6378494313710051,36.546080382378044
P3,28,0.705535461914932,0.0426667871948165,2.4446268316458104,0.6672166734591952,38.2286994099703
P14,25,0.7033474875114943,0.019772462132390645,1.132878630768224,0.7137991394328067,40.89767810957
P13,27,0.6807309494855186,0.024840763802977547,1.4232709257919578,0.695081470202378,39.82523466034455
P15,28,0.672341446974719,-0.05671051950521242,-3.2492734216430055,0.720017475785707,41.253962538183956
P21,26,0.6385597263939128,0.06593301539621227,3.7776835127740402,0.8123358807363282,46.5434175132342
P17,23,0.6309267554849346,0.05451861993272951,3.1236868270232048,0.7453347966338595,42.70453817136167
P4,28,0.6074342705362671,-0.0280990570235503,-1.6099573757468653,0.7529084157255416,43.13847458095476
P26,28,0.5660993087755176,0.1570987085485499,9.001092966787697,0.8774835793314705,50.276105687726215
P9,25,0.5019919368778054,-0.09646263535916498,-5.526901886789576,0.9512758369064807,54.504090607516574
P25,24,0.467633389608771,-0.32759418193069245,-18.76976401766953,0.9859538054088883,56.49099184479214
P19,29,0.422028214182896,-0.15792135252187853,-9.048226994501299,1.0399191745186924,59.58297973464958
P20,24,0.42003143421412514,-0.003167938011219368,-0.1815094778019374,1.0207131060976198,58.48255307308263
