phi_center,P_phi,U_phi
-2.113826597710934,0.0038221498247537657,2.7761878175649572
-1.9807205136955885,0.003206606541725983,2.951787135146816
-1.847614429680243,0.0027318732959571504,3.1120122561984545
-1.7145083456648973,0.002986204156287865,3.0229970628873346
-1.5814022616495518,0.005393085348831184,2.431883983247345
-1.448296177634206,0.009621698564044155,1.8529816252381277
-1.3151900936188605,0.014771213177914702,1.4243225714167593
-1.182084009603515,0.021870640896445814,1.0318578832411167
-1.0489779255881695,0.02889338164621797,0.753390573345317
-0.915871841572824,0.033356533748941514,0.6097495120805871
-0.7827657575574783,0.03765263807004256,0.4886001939175002
-0.6496596735421327,0.0433520824295996,0.3476485092218957
-0.5165535895267872,0.04829126011982572,0.23975267809394785
-0.3834475055114416,0.05248758029199638,0.15642671328979763
-0.25034142149609595,0.05681728591031196,0.07716269471779924
-0.11723533748075043,0.059916271983320495,0.024055191949523103
0.01587074653459508,0.06094151007050086,0.007088762585942376
0.1489768305499406,0.06137504483497077,0.0
0.2820829145652861,0.06006943514891849,0.02150216747817968
0.41518899858063163,0.054178176001549734,0.12472512442000694
0.5482950825959774,0.04550052474675457,0.29927940099199724
0.6814011666113231,0.038614141309713586,0.463384656030275
0.8145072506266686,0.03601334161423973,0.5331137316846384
0.9476133346420141,0.03200228207704398,0.6511959519135337
1.0807194186573597,0.02367942637442157,0.9523964715790716
1.2138255026727052,0.015753341070116136,1.3599503705590932
1.3469315866880507,0.013229510212035656,1.5345527672387522
1.4800376707033964,0.016701465129979606,1.3015064328975168
1.6131437547187422,0.01969830989935246,1.1364701317455634
1.7462498387340877,0.01742595986755787,1.2590418649139012
1.8793559227494332,0.013392683117364985,1.5222942110723032
2.0124620067647787,0.009610339262544542,1.8541629135768982
2.1455680907801242,0.0067448229585770495,2.208226755424792
2.2786741747954697,0.006876880093712525,2.1888369510656345
2.4117802588108153,0.00870678853034143,1.9528993187915749
2.5448863428261608,0.009324494108593047,1.8843576941430813
2.6779924268415063,0.00844005210935512,1.9840138120466442
2.811098510856852,0.006860604155729807,2.191206514750964
2.9442045948721973,0.0052014074116286755,2.468072311951972
3.077310678887543,0.004488953888781073,2.6153815641676816
