task_idx,E_Ricci,Q_Ricci,Q_Ricci_shifted,Q_Ricci_affine
0,-6.329382541015782,-0.024212217449049417,-0.009934402658306921,-6.358261134823534
1,-9.025571820265162,-0.009934402658306921,-0.030808536296027172,-9.324832282488186
2,-9.323430335331784,-0.030808536296027172,-0.01600281445278582,-7.220686165442198
3,-6.641527749714132,-0.01600281445278582,-0.008187236231928359,-6.10995892498729
4,-5.109156505555651,-0.008187236231928359,-0.02056654978601548,-7.8692709546414035
5,-9.004770019210701,-0.02056654978601548,-0.015320040306018572,-7.1236522899614485
6,-7.856406315143443,-0.015320040306018572,-0.03445020194915952,-9.84237521114425
7,-6.068454947144666,-0.03445020194915952,-0.017816469186127136,-7.478437500042899
8,-7.783299530770539,-0.017816469186127136,-0.028146096387383336,-8.946454067973875
9,-8.599293926707482,-0.028146096387383336,-0.019457576495634912,-7.711666896725972
10,-5.738127567575688,-0.019457576495634912,-0.030138690486647704,-9.22963574470717
11,-8.341069948545757,-0.030138690486647704,-0.02752461437658303,-8.858130852551836
12,-6.717024620539514,-0.02752461437658303,-0.01018259749204714,-6.393533862571269
13,-7.51011785245665,-0.01018259749204714,-0.014453048711398242,-7.000437966698673
14,-7.041820946725768,-0.014453048711398242,-0.009608865093284125,-6.311996683103606
15,-10.280199851296128,-0.009608865093284125,-0.033522365330020815,-9.710513770001143
16,-7.85198065179297,-0.033522365330020815,-0.029412740014289465,-9.12646577543765
17,-9.725881300343652,-0.029412740014289465,-0.010280096858149887,-6.407390188846452
18,-7.250012251518548,-0.010280096858149887,-0.015125600341667156,-7.096019047872995
19,-7.710756143806987,-0.015125600341667156,-0.023762931017337778,-8.323531356646436
20,-7.235226398337638,-0.023762931017337778,-0.023627067051021952,-8.304222764995403
21,-8.107520358673408,-0.023627067051021952,-0.03405191659324411,-9.785772055013211
22,-9.508848739296903,-0.03405191659324411,-0.012469794577733097,-6.718583658705452
23,-6.770039993200121,-0.012469794577733097,-0.009608865093284125,-6.311996683103606
24,-7.681549060803758,-0.009608865093284125,-0.011837737020923389,-6.62875747744987
25,-7.6689130130602265,-0.011837737020923389,-0.017159396452728515,-7.385056234662135
26,-6.692369310666951,-0.017159396452728515,-0.020281414465999834,-7.828748352447748
27,-6.6415550601462465,-0.020281414465999834,-0.007429604685337234,-6.0022865336111835
28,-8.09661524068244,-0.007429604685337234,-0.018596243619854007,-7.58925677412288
29,-8.376593045305588,-0.018596243619854007,,
