label,n_tasks,best_lag,best_rho,best_abs_r_pre_affine,ts_csv
P1,30,5,0.49,0.49,IDPC_Reproduction_ricci/P1_timeseries.csv
P2,30,4,0.4051282051282051,0.4051282051282051,IDPC_Reproduction_ricci/P2_timeseries.csv
P3,30,1,0.37389162561576345,0.37389162561576345,IDPC_Reproduction_ricci/P3_timeseries.csv
P4,30,-1,0.32245350657198635,0.32245350657198635,IDPC_Reproduction_ricci/P4_timeseries.csv
P5,30,3,0.5555555555555555,0.5555555555555555,IDPC_Reproduction_ricci/P5_timeseries.csv
P6,30,-5,0.6016541753919005,0.6016541753919005,IDPC_Reproduction_ricci/P6_timeseries.csv
P7,30,0,0.4705228031145718,0.4705228031145718,IDPC_Reproduction_ricci/P7_timeseries.csv
P8,30,-2,0.4006568144499179,0.4006568144499179,IDPC_Reproduction_ricci/P8_timeseries.csv
P9,30,-4,-0.26905982905982906,0.26905982905982906,IDPC_Reproduction_ricci/P9_timeseries.csv
P10,30,2,0.3169129720853858,0.3169129720853858,IDPC_Reproduction_ricci/P10_timeseries.csv
P11,30,-4,0.37955206572848244,0.37955206572848244,IDPC_Reproduction_ricci/P11_timeseries.csv
P12,30,0,0.5239154616240267,0.5239154616240267,IDPC_Reproduction_ricci/P12_timeseries.csv
P13,30,-2,0.41050903119868637,0.41050903119868637,IDPC_Reproduction_ricci/P13_timeseries.csv
P14,30,4,0.21162393162393162,0.21162393162393162,IDPC_Reproduction_ricci/P14_timeseries.csv
P15,30,1,-0.2669950738916256,0.2669950738916256,IDPC_Reproduction_ricci/P15_timeseries.csv
P16,30,3,0.29181929181929184,0.29181929181929184,IDPC_Reproduction_ricci/P16_timeseries.csv
P17,30,6,-0.41913043478260864,0.41913043478260864,IDPC_Reproduction_ricci/P17_timeseries.csv
P18,30,1,0.37586206896551716,0.37586206896551716,IDPC_Reproduction_ricci/P18_timeseries.csv
P19,30,0,-0.35661846496106786,0.35661846496106786,IDPC_Reproduction_ricci/P19_timeseries.csv
P20,30,-5,-0.37538461538461537,0.37538461538461537,IDPC_Reproduction_ricci/P20_timeseries.csv
P21,30,-3,-0.34432234432234426,0.34432234432234426,IDPC_Reproduction_ricci/P21_timeseries.csv
P22,30,5,0.42769230769230765,0.42769230769230765,IDPC_Reproduction_ricci/P22_timeseries.csv
P23,29,5,0.38956521739130434,0.38956521739130434,IDPC_Reproduction_ricci/P23_timeseries.csv
P24,30,5,0.5946153846153845,0.5946153846153845,IDPC_Reproduction_ricci/P24_timeseries.csv
P25,30,5,-0.42153846153846153,0.42153846153846153,IDPC_Reproduction_ricci/P25_timeseries.csv
P26,30,1,-0.2835673897340962,0.2835673897340962,IDPC_Reproduction_ricci/P26_timeseries.csv
